conre,cnpj
4,"42.196.550/0006-82"
4,"42.196.550/0011-40"
4,"42.196.550/0005-00"
4,"38.659.468/0001-65"
4,"01.186.438/0001-79"
4,"19.729.593/0001-50"
4,"07.263.602/0001-80"
4,"00.189.806/0001-70"
4,"06.083.776/0001-07"
4,"41.938.632/0001-88"
4,"36.066.848/0001-60"
4,"49.237.968/0001-25"
4,"14.180.007/0001-47"
4,"43.424.354/0001-76"
4,"01.768.747/0001-57"
4,"28.102.228/0001-01"
4,"28.748.693/0001-14"
4,"18.697.679/0001-85"
4,"05.389.817/0001-17"
4,"22.081.577/0001-08"
4,"39.293.002/0001-51"
4,"40.851.155/0001-56"
4,"86.731.528/0001-56"
4,"22.445.600/0001-04"
4,"00.481.961/0001-65"
4,"49.860.741/0001-31"
4,"04.914.964/0001-04"
4,"22.345.021/0001-81"
4,"06.859.792/0001-30"
4,"26.068.753/0001-22"
4,"23.902.949/0001-82"
4,"89.137.574/0001-10"
4,"16.950.128/0001-56"
4,"92.973.734/0001-75"
4,"02.603.313/0001-60"
4,"20.426.351-0001/76"
4,"22.614.775/0001-90"
4,"34.133.477/0001-67"
4,"72.113.046/0001-28"
4,"45.200.032/0001-79"
4,"55.361.318/0001-90"
4,"09.271.490/0001-35"
4,"19.731.315/0001-37"
4,"09.249.695/0001-14"
4,"37.229.464/0001-84"
4,"27.844.225/0001-80"
4,"07.331.137/0001-78"
4,"12.329.007/0001-30"
4,"07.217.379/0001-35"
4,"82.883.901/0001-33"
4,"03.566.875/0001-43"
4,"01.248.085/0001-94"
4,"52.908.063/0001-44"
5,"45.610.852/0001-39"
5,"12.282.147/0001-09"
5,"35.751.297/0001-01"
5,"10.595.124/0001-10"
5,"23.193.021/0001-76"
5,"36.344.581/0001-26"
5,"17.159.578/0001-98"
5,"49.878.041/0001-74"
5,"44.181.552/0001-19"
5,"39.265.223/0001-16"
5,"17.278.191/0001-50"
5,"36.987.516/0001-19"
5,"43.787.475/0001-82"
5,"02.424.348/0001-31"
5,"97528050000188"
5,"56.029.728/0001-09"
5,"13273587000154"
5,56237002000153
5,"55.571.190/0001-99"
5,"53.498.152/0001-22"
5,"12.265.777/0001-67"
5,50631653000147
5,"31.684.059/0001-70"
5,"40.110.315/0001-06"
5,"37.950.673/0001-12"
5,"16.096.182/0001-86"
5,"11.383.331/0001-74"
5,"09.026.259/0001-86"
5,48752929000101
5,"14.258.291/0001-27"
5,"10.849.898/0001-20"
5,53715260000100
5,"07.200.113/0001-80"
5,"07.827.817/0001-87"
5,"51.492.443/0001-88"
5,"54.038.327/0001-81"
5,"02.936.488/0001-99"
5,"55.255.892/0001-63"
5,"05.246.439/0001-12"
5,14703935000149
5,"28.376.850/0001-08"
5,08797064000177
5,"38.302.245/0001-46"
5,"29.188.822/0001-20"
5,"08.900.970/0001-55"
5,"14.717.260/0001-97"
5,"17.002.607/0001-03"
5,"26.808.171/0001-35"
5,"44.470.818/0001-43"
5,"04.810.573/0001-31"
5,"63.581.458/0001-00"
5,51429664000101
5,29582136000139
5,"10.320.449/0001-90"
5,"49.237.968/0001-25"
5,"19.497.466/0001-72"
5,"37.838.057/0001-74"
5,"01.217.178/0001-51"
5,"19.589.275/0001-30"
5,"22.400.349/0001-53"
5,"10.956.929/0001-42"
5,"11.490.324/0001-71"
5,09170122000109
5,"51.990.064/0001-18"
5,"03.295.843/0001-50"
5,"04.584.309/0001-27"
5,"44.102.237/0001-59"
5,"09.546.952/0001-80"
5,"04.994.119/0001-88"
5,"10.741.213/0001-28"
5,"10.575.983/0001-48"
5,"51.772.470/0001-04"
5,"69.944.171/0001-75"
5,"11.849.437/0001-10"
5,"00.377.711/0001-80"
5,"01.620.444/0001-92"
5,"14.861.123/0001-21"
5,"17.442.390/0001-52"
5,"06.890.179/0001-86"
5,"11.186.543/0001-61"
